"RefDes","Type","Value","Part No"
"BZ1","Buzzer","","China"
"C1","CAP_0603","1uF","E-9527699"
"C2","CAP","10uF","E-1639946"
"C3","CAP_0603","22pF","E-1414622"
"C4","CAP_0603","22pF","E-1414622"
"C5","CAP_0603","10nF","E-1414609"
"C6","CAP_0603","10nF","E-1414609"
"C7","CAP_0603","10nF","E-1414609"
"C8","CAP_0603","10nF","E-1414609"
"C9","CAP_0603","100nF","E-1288255"
"C10","CAP_0603","100nF","E-1288255"
"D1","S1G","","E-9843850"
"hdr1","Screw Terminal2","","China"
"hdr2","Hdr16","LCD","E-3418479"
"hdr3","Hdr2x3","ISP","E-1348883"
"hdr4","Screw Terminal3","","China"
"hdr5","Screw Terminal3","","China"
"hdr6","Hdr5","","Jaycar"
"J1","USB Socket","","E-1696539"
"J2","JUMPER","",""
"Q1","BC807","","E-1081219"
"R1","RES_0805","22R","E-1738936"
"R2","RES_0805","22R","E-1738936"
"R3","RES_0805","1K","Jaycar"
"R4","RES_0805","1K","Jaycar"
"R5","RES_0805","8R2","Jaycar"
"R6","RES_0805","390R","Jaycar"
"R7","RES_0805","5K6","Jaycar"
"U1","ATMEGA32U2_VQFP","","E-1748524"
"U2","MAX6675","","China"
"VR1","POT","10K","E-1689863"
"X1","CRYSTAL","8MHz","E-1812391"
